matchup_id,date,home_team,away_team,home_pitcher,away_pitcher,game_time
matchup1,2025-05-01,PIT,CHC,,,
matchup2,2025-05-01,NYM,AZ,,,
matchup3,2025-05-01,CLE,MIN,,,
matchup4,2025-05-01,TEX,ATH,,,
matchup5,2025-05-01,TOR,BOS,,,
matchup6,2025-05-01,SF,COL,,,
matchup7,2025-05-01,CIN,WSH,,,
matchup8,2025-05-01,PIT,SD,,,
matchup9,2025-05-01,PHI,AZ,,,
matchup10,2025-05-01,BAL,KC,,,
matchup11,2025-05-01,NYY,TB,,,
matchup12,2025-05-01,TOR,CLE,,,
matchup13,2025-05-01,BOS,MIN,,,
matchup14,2025-05-01,MIA,ATH,,,
matchup15,2025-05-01,ATL,LAD,,,
matchup16,2025-05-01,CWS,HOU,,,
matchup17,2025-05-01,TEX,SEA,,,
matchup18,2025-05-01,MIL,CHC,,,
matchup19,2025-05-01,STL,NYM,,,
matchup20,2025-05-01,LAA,DET,,,
matchup21,2025-05-01,SF,COL,,,
matchup22,2025-05-01,NYY,TB,,,
matchup23,2025-05-01,CWS,HOU,,,
matchup24,2025-05-01,STL,NYM,,,
matchup25,2025-05-01,TOR,CLE,,,
matchup26,2025-05-01,PIT,SD,,,
matchup27,2025-05-01,SF,COL,,,
matchup28,2025-05-01,BOS,MIN,,,
matchup29,2025-05-01,MIA,ATH,,,
matchup30,2025-05-01,PHI,AZ,,,
matchup31,2025-05-01,CIN,WSH,,,
matchup32,2025-05-01,TEX,SEA,,,
matchup33,2025-05-01,MIL,CHC,,,
matchup34,2025-05-01,BAL,KC,,,
matchup35,2025-05-01,ATL,LAD,,,
matchup36,2025-05-01,LAA,DET,,,
