team,wins,losses,run_diff,streak,games_played,win_pct
NYY,48,36,112,L1,84,.571
TB,47,38,69,L2,85,.553
TOR,46,38,-3,W2,84,.548
BOS,42,44,17,W1,86,.488
BAL,37,47,-73,W2,84,.440
DET,53,32,99,W2,85,.624
CLE,40,42,-47,L4,82,.488
MIN,40,44,-14,L2,84,.476
KC,39,46,-37,L2,85,.459
CWS,28,56,-80,W2,84,.333
HOU,50,34,46,W1,84,.595
SEA,44,40,17,W2,84,.524
LAA,41,42,-49,L1,83,.494
TEX,41,44,12,L2,85,.482
Athletics,35,52,-140,W1,87,.402
PHI,50,35,50,W2,85,.588
NYM,48,37,39,L3,85,.565
ATL,38,45,12,L1,83,.458
MIA,37,45,-74,W7,82,.451
WSH,35,49,-68,W1,84,.417
CHC,49,35,104,L1,84,.583
MIL,47,37,56,L1,84,.560
STL,47,39,38,L1,86,.547
CIN,44,41,33,L1,85,.518
PIT,36,50,-35,W4,86,.419
LAD,53,32,90,W1,85,.624
SD,45,39,13,L2,84,.536
SF,45,40,30,L3,85,.529
ARI,42,42,4,W1,84,.500
COL,19,65,-221,W1,84,.226
